pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*ande-φarx-ske/o-,greet,,"and,ande-φarx-skeo-,angd,angde-tharx-skeo-,anggd,anggde-tharx-skeo-,skeo,tharx,φarx",greet,"0RKS,ANKT,ANKT0RKSKSSK,ANKTTRKSKSSK,NKT0RKSKSSK,NKTTRKSKSSK,SK,TRKS",KRT
*tu-ande-φarx-ske/o-,greet,,"and,angd,anggd,skeo,tharx,tu,tu-ande-φarx-skeo-,tu-angde-tharx-skeo-,tu-anggde-tharx-skeo-,φarx",greet,"0RKS,ANKT,SK,T,TNKT0RKSKSSK,TNKTTRKSKSSK,TRKS",KRT
*(tu-)ari-koito-,light sleep,,"ari,koito,tu,tu-ari-koito-","light,sleep","AR,KT,T,TRKT","LT,SLP,XLP"
*ari-koito-,light sleep,,"ari,ari-koito-,koito","light,sleep","AR,ARKT,KT,RKT","LT,SLP,XLP"
*tu-ari-koito-,light sleep,,"ari,koito,tu,tu-ari-koito-","light,sleep","AR,KT,T,TRKT","LT,SLP,XLP"
*(tu-)u-n-k-e/o-,understand,,"eo,k,n,ng,ngg,tu,tu-u-n-k-eo-,tu-u-ng-k-eo-,tu-u-ngg-k-eo-,u",understand,"A,K,NK,T,TNKKK,TNKKKK",ANKTRSTNKT
*u-n-k-e/o-,understand,,"eo,k,n,ng,ngg,u,u-n-k-eo-,u-ng-k-eo-,u-ngg-k-eo-",understand,"A,AANKKK,AANKKKK,K,NK,NKKKK",ANKTRSTNKT
*tu-u-n-k-e/o-,understand,,"eo,k,n,ng,ngg,tu,tu-u-n-k-eo-,tu-u-ng-k-eo-,tu-u-ngg-k-eo-,u",understand,"A,K,NK,T,TNKKK,TNKKKK",ANKTRSTNKT
*(uxs-)sterb-,death,,"sterb,ux,uxs-sterb-",death,"AKS,AKSSSSTRPP,KSSSSSTRPP,STRP","T0,TT"
*sterb-,death,,"sterb,sterb-",death,"STRP,STRPP","T0,TT"
*uxs-sterb-,death,,"sterb,ux,uxs-sterb-",death,"AKS,AKSSSSTRPP,KSSSSTRPP,STRP","T0,TT"
*(φ)adwo-,fast,,"thadwo,thadwo-,φadwo,φadwo-",fast,"00T,0T,TT,TTT",FST
*adwo-,fast,,"adwo,adwo-",fast,"AT,T",FST
*φadwo-,fast,,"thadwo,thadwo-,φadwo,φadwo-",fast,"0T,TT",FST
*(φ)likkā-,flat stone,,"thlikka,thlikka-,φlikkā,φlikkā-","flat,stone","00K,0LK,TLK,TTK","FLT,STNJ,STNK"
*likkā-,flat stone,,"likka,likka-,likkā,likkā-","flat,stone",LK,"FLT,STNJ,STNK"
*φlikkā-,flat stone,,"thlikka,thlikka-,φlikkā,φlikkā-","flat,stone","0LK,TLK","FLT,STNJ,STNK"
"*(φ)rāti-, *-(φ)rāto-",earthen bank,,"-thrato-,-φrāto-,thrati,thrati-,thrato,φrāti,φrāti-,φrāto","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*(φ)rāti-,earthen bank,,"thrati,thrati-,φrāti,φrāti-","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*-(φ)rāto-,earthen bank,,"-thrato-,-φrāto-,thrato,φrāto","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*rāti-,earthen bank,,"rati,rati-,rāti,rāti-","bank,earthen",RT,"AR0NK,ARTNK,PNKK"
*φrāti-,earthen bank,,"thrati,thrati-,φrāti,φrāti-","bank,earthen","0RT,TRT","AR0NK,ARTNK,PNKK"
*-rāto-,earthen bank,,"-rato-,-rāto-,rato,rāto","bank,earthen",RT,"AR0NK,ARTNK,PNKK"
*-φrāto-,earthen bank,,"-thrato-,-φrāto-,thrato,φrāto","bank,earthen","0RT,TRT","AR0NK,ARTNK,PNKK"
*(φ)riketti-,coal,,"thriketti,thriketti-,φriketti,φriketti-",coal,"00KT,0RKT,TRKT,TTKT",KL
*riketti-,coal,,"riketti,riketti-",coal,RKT,KL
*φriketti-,coal,,"thriketti,thriketti-,φriketti,φriketti-",coal,"0RKT,TRKT",KL
*(φ)rind-o-,cape,,"o,thringd,thringd-o-,thringgd,thringgd-o-,φrind,φrind-o-",cape,"00NKTT,0RNKT,0RNKTT,A,TRNKT,TRNKTT,TTNKTT",KP
*rind-o-,cape,,"o,rind,rind-o-,ringd,ringd-o-,ringgd,ringgd-o-",cape,"A,RNKT,RNKTT",KP
*φrind-o-,cape,,"o,thringd,thringd-o-,thringgd,thringgd-o-,φrind,φrind-o-",cape,"0RNKT,0RNKTT,A,TRNKT,TRNKTT",KP
*(φ)streu-,sneeze,,"thstreu,thstreu-,φstreu,φstreu-",sneez,"00TR,0STR,TSTR,TTTR","SNJS,XNKS"
*streu-,sneeze,,"streu,streu-",sneez,STR,"SNJS,XNKS"
*φstreu-,sneeze,,"thstreu,thstreu-,φstreu,φstreu-",sneez,"0STR,TSTR","SNJS,XNKS"
*(φ)utu-,udder,,"thutu,thutu-,φutu,φutu-",udder,"00T,0T,TT,TTT",ATR
*utu-,udder,,"utu,utu-",udder,"AT,T",ATR
*φutu-,udder,,"thutu,thutu-,φutu,φutu-",udder,"0T,TT",ATR
*(φ)īts-elo-,low,,"elo,thit,thits-elo-,φīts,φīts-elo-",low,"00TSSL,0T,0TS,0TSSL,AL,TT,TTS,TTSSL,TTTSSL","L,LF"
*īts-elo-,low,,"elo,it,its-elo-,īts,īts-elo-",low,"AL,AT,ATS,ATSSL,TSSL","L,LF"
*φīts-elo-,low,,"elo,thit,thits-elo-,φīts,φīts-elo-",low,"0T,0TS,0TSSL,AL,TT,TTS,TTSSL","L,LF"
*(φ)labro-,speak,,"thlabro,thlabro-,φlabro,φlabro-",speak,"00PR,0LPR,TLPR,TTPR",SPK
*labro-,speak,,"labro,labro-",speak,LPR,SPK
*φlabro-,speak,,"thlabro,thlabro-,φlabro,φlabro-",speak,"0LPR,TLPR",SPK
*(φ)lakno-,sadness,,"thlaknggo,thlaknggo-,thlakngo,thlakngo-,φlakno,φlakno-",sad,"00KNK,0LKNK,TLKNK,TTKNK","ST,STNJS,STNKS"
*lakno-,sadness,,"laknggo,laknggo-,lakngo,lakngo-,lakno,lakno-",sad,LKNK,"ST,STNJS,STNKS"
*φlakno-,sadness,,"thlaknggo,thlaknggo-,thlakngo,thlakngo-,φlakno,φlakno-",sad,"0LKNK,TLKNK","ST,STNJS,STNKS"
*(φ)lan(d)weto-,flood,,"thlangdweto,thlangdweto-,thlanggdweto,thlanggdweto-,φlandweto,φlandweto-",flood,"00NKKTTT,0LNKTT,TLNKTT,TTNKKTTT",FLT
*lanweto-,flood,,"langgweto,langgweto-,langweto,langweto-,lanweto,lanweto-",flood,LNKT,FLT
*φlanweto-,flood,,"thlanggweto,thlanggweto-,thlangweto,thlangweto-,φlanweto,φlanweto-",flood,"0LNKT,TLNKT",FLT
